timepoint,hue,Area
1,Dif,830326.396075
2,Dif,816357.412375
9,Dif,806315.19631
10,Dif,813004.72342
11,Dif,804760.827235
12,Dif,791199.628675
13,Dif,800296.27459
14,Dif,783582.86473
15,Dif,802248.88336
16,Dif,790106.40133
17,Dif,788856.554095
18,Dif,784498.330015
19,Dif,782697.422725
20,Dif,780232.75153
1,Dif,830326.396075
2,Dif,828897.310375
9,Dif,827056.22305
10,Dif,825354.70645
11,Dif,822810.580075
12,Dif,823843.743325
13,Dif,824356.795375
14,Dif,824023.882375
15,Dif,823867.360975
16,Dif,817162.5193
17,Dif,818043.736525
18,Dif,819050.62405
19,Dif,820376.00125
20,Dif,814334.719675
1,Dif,836637.799075
2,Dif,834829.13155
9,Dif,882214.7653
10,Dif,879750.3376
11,Dif,876867.459175
12,Dif,869778.329575
13,Dif,866551.993
14,Dif,868325.887675
15,Dif,861968.0773
16,Dif,862591.156225
17,Dif,859847.10775
18,Dif,857455.4503
19,Dif,854624.426125
20,Dif,855189.681025
1,Exp,830326.396075
2,Exp,808439.283625
9,Exp,800311.10815
10,Exp,792790.019575
11,Exp,779791.9021
12,Exp,769200.0397
13,Exp,781375.896925
14,Exp,755149.62955
15,Exp,745520.556775
16,Exp,734450.328025
17,Exp,686647.158625
18,Exp,706184.92495
19,Exp,691325.806375
20,Exp,667956.969625
1,Exp,830326.396075
2,Exp,804836.5462
9,Exp,800503.666075
10,Exp,799253.3686
11,Exp,797383.6525
12,Exp,788579.193025
13,Exp,775493.969125
14,Exp,787485.286225
15,Exp,777148.9912
16,Exp,767158.8124
17,Exp,761041.274575
18,Exp,758890.28185
19,Exp,751986.78175
20,Exp,743673.89185
1,Exp,830326.396075
2,Exp,821732.360275
9,Exp,781232.273725
10,Exp,775858.256125
11,Exp,779583.265
12,Exp,773509.17145
13,Exp,759810.106525
14,Exp,735408.455125
15,Exp,725150.15935
16,Exp,714526.617925
17,Exp,711307.384075
18,Exp,701704.19485
19,Exp,697428.572275
20,Exp,691715.6719
