y,x,hue
8.42170887264349E-16,0,0.06
8.75789885418249E-16,50,0.06
6.77658780025613E-15,100,0.06
4.58258247530077E-14,150,0.06
3.03407197218648E-13,200,0.06
1.96149401685885E-12,250,0.06
1.23757117643815E-11,300,0.06
7.6158848889534E-11,350,0.06
4.56845492448404E-10,400,0.06
2.66952684598799E-09,450,0.06
1.51850612190815E-08,500,0.06
8.4023385916328E-08,550,0.06
4.51908409322787E-07,600,0.06
2.36054295102223E-06,650,0.06
1.19648329081996E-05,700,0.06
5.87938258609586E-05,750,0.06
0.000279805829347,800,0.06
0.001288311416458,850,0.06
0.005732303687932,900,0.06
0.024617788006019,950,0.06
0.101907249250943,1000,0.06
0.406044913536552,1050,0.06
1.55481368968412,1100,0.06
5.71186947632677,1150,0.06
20.0938475531605,1200,0.06
67.5522904294233,1250,0.06
216.531505516354,1300,0.06
660.094915197748,1350,0.06
1908.37776727719,1400,0.06
5215.62475405517,1450,0.06
13426.2565378641,1500,0.06
32419.3021017851,1550,0.06
73074.4315785715,1600,0.06
152899.80918657,1650,0.06
295029.583861265,1700,0.06
520893.733655159,1750,0.06
833736.858308782,1800,0.06
1196673.36096203,1850,0.06
1521630.14052347,1900,0.06
1694854.17318065,1950,0.06
1649642.72254378,2000,0.06
1445443.2755333,2050,0.06
1261710.70472374,2100,0.06
1255208.94483968,2150,0.06
1393203.50042769,2200,0.06
1485602.46422677,2250,0.06
1435807.55925638,2300,0.06
1364830.37062217,2350,0.06
1380193.17471124,2400,0.06
1397286,2450,0.06
3.93154171316689E-10,0,0.08
4.08321569870847E-10,50,0.08
2.39893702185603E-09,100,0.08
1.19308334488556E-08,150,0.08
5.82134949842505E-08,200,0.08
2.77077280709576E-07,250,0.08
1.28592593118985E-06,300,0.08
5.81543432087484E-06,350,0.08
2.56094071103804E-05,400,0.08
0.000109736200375,450,0.08
0.000457188645977,500,0.08
0.001850446113018,550,0.08
0.007269580098596,600,0.08
0.027693887989209,650,0.08
0.102202283797725,700,0.08
0.364978057049742,750,0.08
1.25977479820272,800,0.08
4.19747436691524,850,0.08
13.4819931120302,900,0.08
41.6811285842811,950,0.08
123.831543882034,1000,0.08
352.895465144881,1050,0.08
962.760914442519,1100,0.08
2508.92272497498,1150,0.08
6229.86571660139,1200,0.08
14698.8987472036,1250,0.08
32850.1431690774,1300,0.08
69290.5111064062,1350,0.08
137371.198216523,1400,0.08
254750.411167288,1450,0.08
439428.337183492,1500,0.08
700390.738154679,1550,0.08
1023509.3726462,1600,0.08
1359045.71386005,1650,0.08
1623735.01480795,1700,0.08
1730666.12587812,1750,0.08
1644714.95604678,1800,0.08
1430748.64815811,1850,0.08
1240552.47389027,1900,0.08
1213075.45767944,1950,0.08
1350119.49097039,2000,0.08
1499342.09654238,2050,0.08
1505958.13367161,2100,0.08
1390489.57306229,2150,0.08
1318214.08640309,2200,0.08
1368859.38473417,2250,0.08
