y,x
8.27848636647861E-06,0
8.58274503572463E-06,50
4.02525537157108E-05,100
0.000154902073203,150
0.000586996258696,200
0.002166300411899,250
0.00778524717493,300
0.02722381477181,350
0.092554350871347,400
0.305660304785862,450
0.979651774230158,500
3.04411394271646,550
9.16091332010114,600
26.6685535872022,650
75.005645356338,700
203.527966372548,750
532.02915093822,800
1337.54551794167,850
3228.11300012184,900
7464.02203909292,950
16496.5889208515,1000
34761.7715757994,1050
69636.5989865432,1100
132179.37878093,1150
236823.972577133,1200
398752.750887667,1250
627705.506959576,1300
918240.202828604,1350
1239498.24777616,1400
1531647.29470424,1450
1718322.90720659,1500
1739580.43499425,1550
1595103.92248513,1600
1368573.76801046,1650
1199317.86616222,1700
1196417.09796919,1750
1347924.91529276,1800
1513974.92669137,1850
1543139.4161196,1900
1423285.9500247,1950
1300378.2836213,2000
1312642.75885266,2050
1421997.79305872,2100
1472107.16681803,2150
1411071.64454,2200
1352556.58388831,2250
1377864.74838322,2300
1416247.37126888,2350
1405317.73399569,2400
1397286,2450
