x,y,hue
0,0,Dif_218 cP
0,45.4545454545455,Dif_218 cP
0,90.9090909090909,Dif_218 cP
0,136.363636363636,Dif_218 cP
0,181.818181818182,Dif_218 cP
0,227.272727272727,Dif_218 cP
0,272.727272727273,Dif_218 cP
0,318.181818181818,Dif_218 cP
0,363.636363636364,Dif_218 cP
0,409.090909090909,Dif_218 cP
0,454.545454545455,Dif_218 cP
0,500,Dif_218 cP
0,545.454545454545,Dif_218 cP
0,590.909090909091,Dif_218 cP
0,636.363636363636,Dif_218 cP
0,681.818181818182,Dif_218 cP
0,727.272727272727,Dif_218 cP
0.001301323994994,772.727272727273,Dif_218 cP
0.041642367839813,818.181818181818,Dif_218 cP
0.646758025512101,863.636363636364,Dif_218 cP
6.49620938301087,909.090909090909,Dif_218 cP
47.4423688855023,954.545454545455,Dif_218 cP
268.551630198956,1000,Dif_218 cP
1226.69176255725,1045.45454545455,Dif_218 cP
4648.62080669403,1090.90909090909,Dif_218 cP
14914.4079391044,1136.36363636364,Dif_218 cP
41149.1972774863,1181.81818181818,Dif_218 cP
98865.7338219267,1227.27272727273,Dif_218 cP
209051.849043131,1272.72727272727,Dif_218 cP
392695.374411805,1318.18181818182,Dif_218 cP
661097.449950635,1363.63636363636,Dif_218 cP
1006185.83278628,1409.09090909091,Dif_218 cP
1397286,1454.54545454545,Dif_218 cP
0,0,nmCg
0,45.4545454545455,nmCg
0,90.9090909090909,nmCg
0,136.363636363636,nmCg
0,181.818181818182,nmCg
0,227.272727272727,nmCg
0,272.727272727273,nmCg
0,318.181818181818,nmCg
0,363.636363636364,nmCg
0,409.090909090909,nmCg
0,454.545454545455,nmCg
0,500,nmCg
0,545.454545454545,nmCg
0,590.909090909091,nmCg
0,636.363636363636,nmCg
0,681.818181818182,nmCg
0,727.272727272727,nmCg
0,772.727272727273,nmCg
0,818.181818181818,nmCg
0,863.636363636364,nmCg
0,909.090909090909,nmCg
0,954.545454545455,nmCg
0,1000,nmCg
0,1045.45454545455,nmCg
0,1090.90909090909,nmCg
0,1136.36363636364,nmCg
0,1181.81818181818,nmCg
0,1227.27272727273,nmCg
0,1272.72727272727,nmCg
0,1318.18181818182,nmCg
87330.375,1363.63636363636,nmCg
523982.25,1409.09090909091,nmCg
1397286,1454.54545454545,nmCg
